  -0.18420681E+02   0.15000003E+01   0.15000003E+01   0.55490179E-07   0.55490179E-07   0.99999991E+00  -0.99999987E+00  -0.79206089E-05   0.78469983E-05   0.50000009E+00  -0.18496726E-07
  -0.18409646E+02   0.15000005E+01   0.15000005E+01   0.56105877E-07   0.56105877E-07   0.99999983E+00  -0.99999979E+00  -0.77520406E-05   0.76776132E-05   0.50000017E+00  -0.18701959E-07
  -0.18398612E+02   0.15000008E+01   0.15000008E+01   0.56728406E-07   0.56728406E-07   0.99999974E+00  -0.99999970E+00  -0.75899523E-05   0.75146991E-05   0.50000026E+00  -0.18909469E-07
  -0.18387577E+02   0.15000010E+01   0.15000010E+01   0.57357842E-07   0.57357842E-07   0.99999966E+00  -0.99999962E+00  -0.74341440E-05   0.73580558E-05   0.50000034E+00  -0.19119281E-07
  -0.18376543E+02   0.15000013E+01   0.15000013E+01   0.57994261E-07   0.57994261E-07   0.99999958E+00  -0.99999954E+00  -0.72844225E-05   0.72074901E-05   0.50000042E+00  -0.19331420E-07
  -0.18365508E+02   0.15000015E+01   0.15000015E+01   0.58637742E-07   0.58637742E-07   0.99999950E+00  -0.99999946E+00  -0.71406007E-05   0.70628146E-05   0.50000050E+00  -0.19545914E-07
  -0.18354474E+02   0.15000017E+01   0.15000017E+01   0.59288362E-07   0.59288362E-07   0.99999942E+00  -0.99999938E+00  -0.70024979E-05   0.69238487E-05   0.50000058E+00  -0.19762787E-07
  -0.18343439E+02   0.15000020E+01   0.15000020E+01   0.59946201E-07   0.59946201E-07   0.99999934E+00  -0.99999930E+00  -0.68699393E-05   0.67904176E-05   0.50000066E+00  -0.19982067E-07
  -0.18332405E+02   0.15000022E+01   0.15000022E+01   0.60611339E-07   0.60611339E-07   0.99999927E+00  -0.99999923E+00  -0.67427562E-05   0.66623520E-05   0.50000073E+00  -0.20203780E-07
  -0.18321370E+02   0.15000024E+01   0.15000024E+01   0.61283857E-07   0.61283857E-07   0.99999919E+00  -0.99999915E+00  -0.66207851E-05   0.65394888E-05   0.50000081E+00  -0.20427952E-07
  -0.18310336E+02   0.15000026E+01   0.15000026E+01   0.61963836E-07   0.61963836E-07   0.99999912E+00  -0.99999908E+00  -0.65038682E-05   0.64216699E-05   0.50000088E+00  -0.20654612E-07
  -0.18299301E+02   0.15000029E+01   0.15000029E+01   0.62651360E-07   0.62651360E-07   0.99999905E+00  -0.99999901E+00  -0.63918530E-05   0.63087427E-05   0.50000095E+00  -0.20883787E-07
  -0.18288266E+02   0.15000031E+01   0.15000031E+01   0.63346512E-07   0.63346512E-07   0.99999898E+00  -0.99999894E+00  -0.62845921E-05   0.62005596E-05   0.50000102E+00  -0.21115504E-07
