  -0.21343281E+02   0.53793615E-09   0.18589567E+10   0.78030625E+19
  -0.21320232E+02   0.55047898E-09   0.18165998E+10   0.79850031E+19
  -0.21297183E+02   0.56331427E-09   0.17752080E+10   0.81711860E+19
  -0.21274135E+02   0.57644883E-09   0.17347594E+10   0.83617100E+19
  -0.21251086E+02   0.58988964E-09   0.16952323E+10   0.85566764E+19
  -0.21228037E+02   0.60364385E-09   0.16566060E+10   0.87561887E+19
  -0.21204988E+02   0.61771876E-09   0.16188597E+10   0.89603529E+19
  -0.21181939E+02   0.63212185E-09   0.15819735E+10   0.91692776E+19
  -0.21158890E+02   0.64686077E-09   0.15459277E+10   0.93830737E+19
  -0.21135841E+02   0.66194335E-09   0.15107033E+10   0.96018547E+19
  -0.21112792E+02   0.67737760E-09   0.14762815E+10   0.98257370E+19
  -0.21089743E+02   0.69317173E-09   0.14426440E+10   0.10054839E+20
  -0.21066694E+02   0.70933412E-09   0.14097729E+10   0.10289284E+20
  -0.21043646E+02   0.72587337E-09   0.13776508E+10   0.10529194E+20
  -0.21020597E+02   0.74279825E-09   0.13462606E+10   0.10774699E+20
  -0.20997548E+02   0.76011776E-09   0.13155856E+10   0.11025928E+20
  -0.20974499E+02   0.77784111E-09   0.12856096E+10   0.11283015E+20
  -0.20951450E+02   0.79597770E-09   0.12563166E+10   0.11546096E+20
  -0.20928401E+02   0.81453718E-09   0.12276910E+10   0.11815311E+20
  -0.20905352E+02   0.83352940E-09   0.11997177E+10   0.12090804E+20
  -0.20882303E+02   0.85296445E-09   0.11723818E+10   0.12372720E+20
  -0.20859254E+02   0.87285266E-09   0.11456687E+10   0.12661209E+20
  -0.20836205E+02   0.89320460E-09   0.11195643E+10   0.12956425E+20
  -0.20813157E+02   0.91403107E-09   0.10940547E+10   0.13258524E+20
  -0.20790108E+02   0.93534315E-09   0.10691263E+10   0.13567667E+20
  -0.20767059E+02   0.95715215E-09   0.10447660E+10   0.13884019E+20
  -0.20744010E+02   0.97946967E-09   0.10209607E+10   0.14207746E+20
  -0.20720961E+02   0.10023075E-08   0.99769776E+09   0.14539022E+20
  -0.20697912E+02   0.10256779E-08   0.97496492E+09   0.14878022E+20
  -0.20674863E+02   0.10495932E-08   0.95275005E+09   0.15224926E+20
  -0.20651814E+02   0.10740662E-08   0.93104135E+09   0.15579919E+20
  -0.20628765E+02   0.10991097E-08   0.90982729E+09   0.15943189E+20
  -0.20605716E+02   0.11247372E-08   0.88909660E+09   0.16314929E+20
  -0.20582668E+02   0.11509622E-08   0.86883826E+09   0.16695337E+20
  -0.20559619E+02   0.11777987E-08   0.84904152E+09   0.17084615E+20
  -0.20536570E+02   0.12052609E-08   0.82969585E+09   0.17482969E+20
  -0.20513521E+02   0.12333635E-08   0.81079098E+09   0.17890612E+20
  -0.20490472E+02   0.12621213E-08   0.79231686E+09   0.18307759E+20
  -0.20467423E+02   0.12915497E-08   0.77426368E+09   0.18734633E+20
  -0.20444374E+02   0.13216642E-08   0.75662185E+09   0.19171460E+20
  -0.20421325E+02   0.13524809E-08   0.73938199E+09   0.19618473E+20
  -0.20398276E+02   0.13840161E-08   0.72253495E+09   0.20075908E+20
  -0.20375227E+02   0.14162866E-08   0.70607177E+09   0.20544009E+20
  -0.20352179E+02   0.14493096E-08   0.68998371E+09   0.21023024E+20
  -0.20329130E+02   0.14831025E-08   0.67426222E+09   0.21513209E+20
  -0.20306081E+02   0.15176834E-08   0.65889895E+09   0.22014822E+20
